adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,125,275,13.2567994,175,Some College,"(2000,3000]",1,3,20,0,Independent,New York
Adopter,260,90,19.4651838,87.5,Some College,"(1500,2000]",1,2,53,0,Independent,California
Non-adopter,125,125,18.4697327,37.5,High School or Less,"(1000,1500]",0,2,68,1,Republican,Arizona
Non-adopter,300,500,14.4911203,125,Bachelor Degree,"(2000,3000]",1,2,32,0,Democrat,New Jersey
Non-adopter,350,250,18.700047,250,Bachelor Degree,"(3000,4000]",1,3,55,0,Republican,California
Adopter,380,160,14.4799344,87.5,Some College,"(1500,2000]",0,3,53,0,Republican,New York
Adopter,100,150,18.2273476,62.5,Some College,"(1500,2000]",0,2,84,1,Independent,California
Non-adopter,225,88,17.5098528,87.5,Bachelor Degree,"(3000,4000]",0,3,54,0,Republican,California
Non-adopter,325,125,14.4940869,87.5,High School or Less,"(2000,3000]",0,2,37,0,Democrat,New Jersey
Adopter,20,50,18.2273476,125,Graduate Degree,"(1500,2000]",1,1,52,0,Independent,California
Adopter,115,140,18.2273476,125,Some College,"(1500,2000]",0,2,72,1,Democrat,California
Adopter,350,100,17.0682681,87.5,Some College,"(2000,3000]",0,2,58,0,Democrat,California
Adopter,260,80,18.4697327,125,Some College,"(1000,1500]",1,2,37,0,Independent,Arizona
Adopter,150,50,17.0682681,62.5,Bachelor Degree,"(1500,2000]",0,2,64,0,Independent,California
Non-adopter,38,38,17.4116604,125,Graduate Degree,"(2000,3000]",0,2,73,1,Independent,California
Adopter,250,170,14.4799344,125,Some College,"(1500,2000]",0,3,53,1,Republican,New York
Non-adopter,225,88,14.1406168,87.5,Some College,"(2000,3000]",0,3,52,0,Independent,New Jersey
Adopter,400,150,18.1662272,62.5,High School or Less,"(1500,2000]",0,2,51,0,Independent,California
Adopter,650,170,19.4651838,62.5,Some College,"(2000,3000]",0,2,58,0,Republican,California
Non-adopter,225,63,20.0647018,87.5,High School or Less,"(2000,3000]",0,2,75,1,Independent,Arizona
Non-adopter,120,135,16.9027499,125,Graduate Degree,"(0,1000]",0,2,53,0,Independent,California
Non-adopter,225,125,19.9905379,125,Some College,"(2000,3000]",0,2,59,0,Independent,Arizona
Non-adopter,38,38,19.4651838,17.5,High School or Less,"(0,1000]",1,2,50,0,Independent,California
Adopter,260,250,18.1662272,125,High School or Less,"(2000,3000]",0,3,46,0,Independent,California
Adopter,300,200,17.2770336,87.5,Some College,"(1000,1500]",0,2,51,0,Republican,California
Adopter,400,110,18.4697327,62.5,High School or Less,"(2000,3000]",0,2,56,1,Democrat,Arizona
Adopter,250,370,17.7295933,350,Graduate Degree,"(3000,4000]",0,2,63,0,Independent,California
Adopter,35,95,17.7295933,125,Some College,"(2000,3000]",0,2,84,1,Republican,California
Non-adopter,120,85,19.9905379,62.5,High School or Less,"(1000,1500]",0,2,63,1,Democrat,Arizona
Adopter,350,150,14.5694684,175,Some College,"(2000,3000]",0,3,58,0,Independent,New Jersey
Non-adopter,225,175,14.4911203,62.5,High School or Less,"(1500,2000]",0,3,50,0,Republican,New Jersey
Non-adopter,275,275,17.7295933,175,Some College,"(2000,3000]",1,2,42,0,Democrat,California
Adopter,60,150,13.6167158,125,Graduate Degree,"(2000,3000]",0,2,58,1,Democrat,New York
Adopter,350,280,14.4799344,125,Graduate Degree,"(1500,2000]",1,3,40,0,Democrat,New York
Non-adopter,275,125,13.8040129,125,Graduate Degree,"(2000,3000]",1,2,39,0,Independent,New Jersey
Non-adopter,125,225,13.7376053,125,Bachelor Degree,"(1500,2000]",0,3,47,0,Independent,New Jersey
Non-adopter,45,60,13.9780966,125,Graduate Degree,"(0,1000]",1,2,44,0,Independent,New Jersey
Non-adopter,140,280,13.648607,350,Graduate Degree,"(0,1000]",1,2,32,0,Republican,New York
Non-adopter,75,100,17.20999,17.5,Bachelor Degree,"(1000,1500]",1,2,55,0,Independent,California
Adopter,225,150,18.4697327,87.5,Bachelor Degree,"(1500,2000]",0,2,51,0,Democrat,Arizona
Non-adopter,375,275,18.4697327,87.5,Graduate Degree,"(3000,4000]",0,2,66,1,Democrat,Arizona
Non-adopter,450,125,18.4697327,62.5,Bachelor Degree,"(1500,2000]",1,2,31,0,Independent,Arizona
Non-adopter,225,325,14.4911203,87.5,Bachelor Degree,"(1500,2000]",1,2,31,0,Democrat,New Jersey
Adopter,120,80,19.4651838,62.5,Graduate Degree,"(1500,2000]",0,1,67,1,Republican,California
Adopter,80,100,13.6167158,125,Bachelor Degree,"(2000,3000]",1,2,45,0,Republican,New York
Adopter,600,250,17.7295933,175,Bachelor Degree,"(2000,3000]",1,2,51,0,Republican,California
Non-adopter,130,110,14.218588,37.5,High School or Less,"(1500,2000]",0,2,63,0,Independent,New Jersey
Non-adopter,38,38,18.5442682,37.5,Some College,"(1000,1500]",0,2,67,1,Democrat,California
Adopter,80,140,18.1662272,37.5,Some College,"(2000,3000]",0,3,60,0,Republican,California
Adopter,80,140,17.1184243,62.5,Bachelor Degree,"(2000,3000]",0,2,67,1,Democrat,California
Adopter,275,70,19.3780232,37.5,Bachelor Degree,"(2000,3000]",0,2,75,1,Republican,California
Non-adopter,99,135,14.2274095,62.5,Some College,"(1500,2000]",0,2,78,1,Independent,New Jersey
Non-adopter,175,125,14.0733312,125,Bachelor Degree,"(1000,1500]",0,2,26,0,Independent,New Jersey
Non-adopter,63,125,16.9027499,62.5,Some College,"(1000,1500]",0,2,42,0,Republican,California
Non-adopter,125,125,13.6928697,62.5,Bachelor Degree,"(1500,2000]",0,1,60,0,Democrat,New York
Non-adopter,150,50,14.4940869,125,Some College,"(2000,3000]",1,2,35,0,Republican,New Jersey
Adopter,180,60,18.4697327,62.5,Some College,"(1500,2000]",0,2,54,0,Democrat,Arizona
Non-adopter,125,38,19.9905379,175,Graduate Degree,"(1500,2000]",0,2,76,1,Democrat,Arizona
Non-adopter,125,63,18.4697327,37.5,Some College,"(1000,1500]",0,1,71,1,Democrat,Arizona
Non-adopter,125,88,16.9027499,62.5,High School or Less,"(2000,3000]",0,3,35,0,Republican,California
Non-adopter,38,38,20.1207263,125,Graduate Degree,"(1500,2000]",0,2,80,1,Democrat,Arizona
Adopter,100,50,18.700047,175,Graduate Degree,"(1000,1500]",0,2,42,0,Democrat,California
Non-adopter,175,63,19.1768928,125,Some College,"(1500,2000]",0,2,78,1,Republican,Arizona
Non-adopter,275,175,14.2714095,17.5,Some College,"(1500,2000]",0,2,50,0,Independent,New Jersey
Adopter,600,200,17.0682681,250,Graduate Degree,"(2000,3000]",0,3,56,0,Democrat,California
Non-adopter,275,125,13.8040129,87.5,Graduate Degree,"(1500,2000]",0,2,65,1,Independent,New Jersey
Non-adopter,325,275,18.2302849,125,Some College,"(2000,3000]",1,3,42,0,Independent,California
Non-adopter,275,63,13.6928697,62.5,High School or Less,"(1500,2000]",1,1,28,0,Independent,New York
Non-adopter,125,88,19.2566854,125,Graduate Degree,"(1500,2000]",0,2,53,0,Democrat,Arizona
Adopter,200,250,17.2770336,125,Some College,"(2000,3000]",0,1,64,0,Democrat,California
Adopter,250,100,18.4697327,87.5,Bachelor Degree,"(1500,2000]",0,2,62,1,Republican,Arizona
Adopter,75,50,14.3809207,125,Bachelor Degree,"(1500,2000]",1,3,52,0,Republican,New Jersey
Adopter,225,150,18.2321857,175,Bachelor Degree,"(1500,2000]",0,2,54,0,Republican,California
Non-adopter,88,88,18.9795037,250,Bachelor Degree,"(1500,2000]",0,2,58,1,Republican,California
Non-adopter,175,88,18.4697327,37.5,Some College,"(1500,2000]",0,2,60,1,Democrat,Arizona
Non-adopter,225,175,14.4799344,62.5,High School or Less,"(2000,3000]",0,1,71,1,Independent,New York
Non-adopter,175,88,19.9748819,87.5,Some College,"(1500,2000]",1,3,41,0,Independent,Arizona
Non-adopter,110,95,18.700047,17.5,High School or Less,"(1000,1500]",0,1,62,1,Republican,California
Adopter,400,180,19.1768928,87.5,Some College,"(2000,3000]",1,3,55,0,Independent,Arizona
Non-adopter,200,200,14.1869744,87.5,Some College,"(1500,2000]",1,2,35,0,Democrat,New Jersey
Adopter,75,150,13.6167158,125,Some College,"(1500,2000]",1,2,33,0,Democrat,New York
Non-adopter,125,125,13.0458995,125,Some College,"(2000,3000]",0,2,68,1,Republican,New York
Adopter,350,90,18.4697327,37.5,Bachelor Degree,"(2000,3000]",0,2,68,0,Republican,Arizona
Non-adopter,175,175,14.2548874,250,Graduate Degree,"(2000,3000]",0,3,61,0,Independent,New York
Non-adopter,225,225,14.3482328,175,Graduate Degree,"(2000,3000]",0,2,48,0,Democrat,New York
Non-adopter,145,135,18.4697327,125,Bachelor Degree,"(1000,1500]",0,2,56,0,Republican,Arizona
Non-adopter,325,175,18.4697327,125,Graduate Degree,"(3000,4000]",0,2,60,1,Democrat,Arizona
Non-adopter,225,225,13.0768876,87.5,High School or Less,"(2000,3000]",0,3,54,0,Republican,New York
Non-adopter,125,38,18.4697327,37.5,Some College,"(1000,1500]",0,1,63,0,Independent,Arizona
Non-adopter,125,125,14.1104985,87.5,Graduate Degree,"(1500,2000]",1,2,34,0,Democrat,New Jersey
Adopter,200,325,18.1662272,62.5,Graduate Degree,"(1500,2000]",0,2,80,1,Democrat,California
Non-adopter,125,125,17.1184243,87.5,High School or Less,"(2000,3000]",1,2,38,0,Republican,California
Non-adopter,450,225,14.1104985,250,Graduate Degree,"(3000,4000]",0,3,58,0,Independent,New Jersey
Non-adopter,63,175,20.1207263,125,Graduate Degree,"(1500,2000]",0,2,76,1,Independent,Arizona
Non-adopter,175,125,13.2440655,37.5,High School or Less,"(1500,2000]",0,2,63,0,Democrat,New York
Adopter,330,250,19.4651838,62.5,Some College,"(1000,1500]",0,3,62,0,Independent,California
Non-adopter,70,70,19.9905379,87.5,Some College,"(2000,3000]",0,2,27,0,Republican,Arizona
Adopter,450,60,17.0682681,175,Some College,"(1500,2000]",1,2,34,0,Independent,California
Non-adopter,175,88,14.4940869,87.5,Bachelor Degree,"(2000,3000]",1,2,37,0,Independent,New Jersey
Adopter,400,150,17.0682681,125,Bachelor Degree,"(1500,2000]",0,2,68,0,Independent,California
Non-adopter,55,40,13.7609191,125,Graduate Degree,"(4000,5000+]",1,2,34,0,Democrat,New York
Non-adopter,175,125,18.4697327,62.5,Graduate Degree,"(1500,2000]",0,1,78,1,Independent,Arizona
Non-adopter,50,150,14.1691022,62.5,Bachelor Degree,"(1500,2000]",1,2,29,0,Republican,New Jersey
Non-adopter,600,200,14.3482328,125,Bachelor Degree,"(0,1000]",0,3,49,0,Independent,New York
Non-adopter,88,88,14.2684383,125,Graduate Degree,"(2000,3000]",0,2,38,0,Independent,New Jersey
Non-adopter,175,175,13.7172145,37.5,Some College,"(1500,2000]",0,2,43,0,Independent,New York
Adopter,250,150,14.192373,250,Some College,"(2000,3000]",1,3,52,0,Republican,New Jersey
Adopter,300,100,17.7295933,125,Graduate Degree,"(2000,3000]",0,3,63,0,Democrat,California
Adopter,300,200,18.1662272,62.5,Some College,"(1500,2000]",1,2,33,0,Independent,California
Adopter,100,70,18.1662272,62.5,Graduate Degree,"(1000,1500]",0,2,54,0,Democrat,California
Adopter,260,230,14.4799344,125,Some College,"(0,1000]",0,3,58,0,Democrat,New York
Non-adopter,125,88,14.1837344,175,High School or Less,"(1500,2000]",0,3,52,0,Independent,New Jersey
Non-adopter,125,125,14.3531422,87.5,Some College,"(1500,2000]",1,1,39,0,Republican,New Jersey
Non-adopter,125,225,13.3924939,62.5,Some College,"(1500,2000]",0,2,54,0,Independent,New York
Non-adopter,200,60,14.1837344,87.5,Some College,"(1000,1500]",1,2,27,0,Democrat,New Jersey
Adopter,300,230,18.1662272,125,Bachelor Degree,"(2000,3000]",0,2,68,1,Democrat,California
Adopter,190,216,18.700047,125,Bachelor Degree,"(1500,2000]",0,2,61,0,Democrat,California
Non-adopter,63,63,17.2976,62.5,Bachelor Degree,"(1000,1500]",1,2,37,0,Democrat,California
Non-adopter,100,100,16.3724796,62.5,High School or Less,"(0,1000]",0,2,18,0,Democrat,California
Adopter,250,190,18.5442682,62.5,Some College,"(1500,2000]",0,2,56,0,Democrat,California
Adopter,130,130,13.8040129,125,Graduate Degree,"(2000,3000]",0,2,45,0,Independent,New Jersey
Adopter,180,125,18.3624927,125,Bachelor Degree,"(1500,2000]",1,3,59,0,Republican,California
Non-adopter,225,225,19.9905379,37.5,High School or Less,"(1500,2000]",0,2,67,0,Independent,Arizona
Non-adopter,225,125,13.6007146,37.5,Bachelor Degree,"(1500,2000]",0,2,62,0,Republican,New York
Non-adopter,125,63,14.3482328,175,Bachelor Degree,"(1500,2000]",0,2,69,1,Republican,New York
Adopter,120,110,18.700047,125,Graduate Degree,"(2000,3000]",1,1,48,0,Democrat,California
Non-adopter,63,88,13.0458995,62.5,Some College,"(1500,2000]",0,2,61,1,Democrat,New York
Non-adopter,125,63,18.2302849,62.5,High School or Less,"(1000,1500]",0,1,38,0,Republican,California
Non-adopter,38,38,18.2321857,125,Bachelor Degree,"(1500,2000]",0,1,62,0,Independent,California
Adopter,120,120,18.2273476,125,Bachelor Degree,"(1000,1500]",1,2,45,0,Independent,California
Non-adopter,63,125,17.2770336,37.5,High School or Less,"(1000,1500]",0,2,82,1,Republican,California
Adopter,600,600,18.1662272,250,Some College,"(3000,4000]",1,3,55,0,Republican,California
Non-adopter,63,18,14.218588,87.5,Bachelor Degree,"(0,1000]",0,2,57,0,Independent,New Jersey
Adopter,75,100,18.2273476,175,Graduate Degree,"(2000,3000]",0,2,59,0,Democrat,California
Adopter,80,150,17.1184243,175,Bachelor Degree,"(2000,3000]",0,1,56,0,Democrat,California
Non-adopter,175,88,14.1691022,87.5,High School or Less,"(1000,1500]",0,2,78,1,Independent,New Jersey
Non-adopter,175,38,18.4697327,125,Graduate Degree,"(2000,3000]",0,1,88,1,Republican,Arizona
Non-adopter,175,175,19.017926,87.5,High School or Less,"(3000,4000]",0,2,49,0,Republican,California
Non-adopter,200,100,18.4697327,37.5,Some College,"(1000,1500]",0,2,66,1,Democrat,Arizona
Adopter,300,250,18.1662272,175,Some College,"(1500,2000]",0,2,55,0,Independent,California
Adopter,135,125,14.0733312,62.5,Some College,"(1500,2000]",0,2,75,1,Democrat,New Jersey
Adopter,400,400,19.2908626,87.5,Some College,"(1500,2000]",0,3,51,0,Republican,California
Adopter,343,204,14.0733312,37.5,Graduate Degree,"(1000,1500]",0,2,78,1,Independent,New Jersey
Adopter,380,50,17.0682681,62.5,Some College,"(2000,3000]",1,2,43,0,Independent,California
Adopter,250,250,13.1131826,125,Bachelor Degree,"(1500,2000]",0,2,77,1,Republican,New York
Adopter,450,80,18.2302849,62.5,Some College,"(1500,2000]",0,3,52,0,Republican,California
Non-adopter,180,110,18.5312698,87.5,Bachelor Degree,"(1500,2000]",0,2,68,1,Democrat,California
Non-adopter,63,88,13.0458995,37.5,High School or Less,"(3000,4000]",0,2,69,1,Independent,New York
Non-adopter,200,400,13.6167158,87.5,Graduate Degree,"(2000,3000]",0,3,62,1,Republican,New York
Adopter,150,30,19.4651838,125,Graduate Degree,"(3000,4000]",1,2,44,0,Independent,California
Adopter,400,200,18.700047,87.5,Graduate Degree,"(2000,3000]",0,2,68,1,Democrat,California
Non-adopter,85,85,12.9722412,17.5,Bachelor Degree,"(1500,2000]",0,1,58,0,Democrat,New York
Non-adopter,63,38,15.0491191,37.5,Some College,"(1000,1500]",0,1,75,1,Independent,New Jersey
Adopter,200,150,14.4911203,62.5,Graduate Degree,"(1000,1500]",0,2,68,0,Republican,New Jersey
Non-adopter,63,63,16.9027499,37.5,Some College,"(1500,2000]",0,1,88,1,Independent,California
Adopter,135,225,17.7295933,175,Bachelor Degree,"(2000,3000]",0,2,58,0,Republican,California
Adopter,400,400,19.2908626,125,Graduate Degree,"(2000,3000]",0,2,69,1,Republican,California
Non-adopter,38,125,19.8069413,175,Graduate Degree,"(4000,5000+]",0,2,64,1,Independent,Arizona
Non-adopter,125,88,14.4799344,62.5,High School or Less,"(1000,1500]",1,2,38,0,Independent,New York
Adopter,200,250,18.1662272,87.5,Graduate Degree,"(1000,1500]",0,3,52,0,Republican,California
Non-adopter,225,225,18.4697327,175,Some College,"(2000,3000]",1,2,39,0,Independent,Arizona
Non-adopter,60,200,14.2487819,17.5,High School or Less,"(1000,1500]",1,1,34,0,Independent,New York
Non-adopter,88,88,13.7866209,125,Bachelor Degree,"(1500,2000]",1,2,41,0,Democrat,New York
Adopter,130,70,13.8040129,125,Graduate Degree,"(2000,3000]",1,2,40,0,Democrat,New Jersey
Non-adopter,375,450,17.8924228,87.5,Graduate Degree,"(2000,3000]",0,2,58,1,Republican,California
Non-adopter,125,175,18.0909452,17.5,High School or Less,"(0,1000]",0,2,62,0,Independent,California
Adopter,500,130,17.0682681,125,Bachelor Degree,"(2000,3000]",1,2,51,0,Republican,California
Adopter,320,200,18.5442682,125,Some College,"(2000,3000]",0,2,57,0,Republican,California
Adopter,180,80,18.1662272,175,Bachelor Degree,"(1000,1500]",0,2,63,0,Republican,California
Adopter,75,180,17.1184243,87.5,Bachelor Degree,"(1500,2000]",0,3,59,0,Democrat,California
Adopter,130,125,14.0733312,125,Some College,"(1000,1500]",0,2,64,1,Democrat,New Jersey
Non-adopter,63,63,17.0682681,37.5,Bachelor Degree,"(1000,1500]",0,1,57,0,Independent,California
Non-adopter,125,63,18.4697327,87.5,Graduate Degree,"(2000,3000]",0,2,59,1,Independent,Arizona
Non-adopter,200,500,18.2302849,87.5,Bachelor Degree,"(2000,3000]",1,2,33,0,Republican,California
Non-adopter,450,200,18.1662272,250,Some College,"(1500,2000]",0,2,53,0,Democrat,California
Adopter,200,200,14.1458314,125,Some College,"(1500,2000]",1,2,37,0,Independent,New Jersey
Adopter,357,560,14.0733312,125,Some College,"(2000,3000]",1,3,35,0,Republican,New Jersey
Adopter,250,200,18.5442682,17.5,Some College,"(1500,2000]",1,3,48,0,Democrat,California
Adopter,550,450,17.7295933,350,Bachelor Degree,"(4000,5000+]",1,2,40,0,Independent,California
Adopter,350,93,18.1662272,125,Graduate Degree,"(1000,1500]",0,2,67,1,Republican,California
Adopter,350,200,17.2051015,175,Some College,"(1000,1500]",0,3,54,0,Republican,California
Adopter,417,417,18.5442682,87.5,Some College,"(1500,2000]",1,2,43,0,Independent,California
Non-adopter,125,110,18.4697327,175,Some College,"(2000,3000]",1,2,24,0,Republican,Arizona
Non-adopter,225,125,16.9027499,125,Some College,"(1500,2000]",0,2,60,1,Republican,California
Adopter,450,375,17.0682681,62.5,Bachelor Degree,"(2000,3000]",0,3,47,0,Democrat,California
Non-adopter,125,175,13.0452671,87.5,High School or Less,"(2000,3000]",1,3,36,0,Republican,New York
Adopter,300,200,18.3624927,350,Some College,"(2000,3000]",1,3,49,0,Republican,California
Non-adopter,63,175,19.4651838,37.5,Some College,"(1000,1500]",1,3,28,0,Independent,California
Non-adopter,63,38,17.516009,62.5,Some College,"(1500,2000]",0,2,71,1,Republican,California
Non-adopter,300,250,19.4651838,62.5,High School or Less,"(1000,1500]",0,3,22,0,Independent,California
Non-adopter,88,125,13.5832064,87.5,Some College,"(2000,3000]",0,1,45,0,Republican,New York
Adopter,190,150,17.0682681,87.5,Bachelor Degree,"(1500,2000]",1,2,32,0,Democrat,California
Adopter,400,250,18.2273476,62.5,Some College,"(2000,3000]",1,2,56,0,Democrat,California
Adopter,200,200,18.1662272,87.5,Graduate Degree,"(1500,2000]",1,3,54,0,Independent,California
Non-adopter,200,150,18.700047,125,Graduate Degree,"(1000,1500]",1,2,31,0,Independent,California
Non-adopter,125,125,14.218588,125,Bachelor Degree,"(2000,3000]",0,2,50,0,Republican,New Jersey
Non-adopter,18,125,19.0826154,37.5,Some College,"(1500,2000]",0,1,56,0,Democrat,California
Non-adopter,200,110,18.700047,62.5,Some College,"(2000,3000]",1,2,51,0,Republican,California
Non-adopter,275,125,18.4697327,87.5,Bachelor Degree,"(2000,3000]",1,2,34,0,Republican,Arizona
Non-adopter,157,157,18.4697327,87.5,Graduate Degree,"(2000,3000]",1,2,45,0,Democrat,Arizona
Non-adopter,65,85,18.700047,17.5,Some College,"(1500,2000]",0,3,52,0,Independent,California
Adopter,175,90,15.0491191,62.5,High School or Less,"(2000,3000]",1,1,72,1,Independent,New Jersey
Non-adopter,225,125,19.1942442,37.5,High School or Less,"(1000,1500]",0,2,54,1,Republican,Arizona
Adopter,130,68,18.3624927,175,Graduate Degree,"(1500,2000]",1,2,41,0,Independent,California
Adopter,150,70,18.4651659,175,Bachelor Degree,"(2000,3000]",0,2,48,0,Independent,California
Adopter,350,150,18.1662272,62.5,Graduate Degree,"(2000,3000]",0,2,62,1,Democrat,California
Non-adopter,225,63,14.1621756,87.5,Some College,"(1500,2000]",1,2,40,0,Democrat,New Jersey
Non-adopter,225,38,18.4697327,87.5,High School or Less,"(0,1000]",0,2,50,0,Independent,Arizona
Non-adopter,225,63,18.4697327,175,Graduate Degree,"(2000,3000]",0,2,61,1,Democrat,Arizona
Non-adopter,175,125,13.4622939,175,Bachelor Degree,"(1500,2000]",0,1,65,0,Democrat,New York
Adopter,125,90,18.3624927,125,Some College,"(1000,1500]",0,3,53,0,Independent,California
Adopter,180,180,17.2051015,62.5,Graduate Degree,"(2000,3000]",0,1,69,1,Democrat,California
Adopter,900,900,17.0682681,250,Graduate Degree,"(2000,3000]",1,3,48,0,Republican,California
Non-adopter,110,110,18.4697327,125,Graduate Degree,"(1500,2000]",0,2,32,0,Democrat,Arizona
Adopter,250,175,19.4651838,62.5,Some College,"(1500,2000]",0,2,60,0,Republican,California
Non-adopter,175,125,18.4697327,37.5,Some College,"(1500,2000]",0,1,80,1,Republican,Arizona
Adopter,225,100,18.700047,125,Some College,"(2000,3000]",0,2,68,1,Independent,California
Non-adopter,200,120,14.1458314,37.5,Bachelor Degree,"(1000,1500]",0,1,34,0,Democrat,New Jersey
Non-adopter,88,63,17.3676259,87.5,Some College,"(1500,2000]",0,2,62,1,Republican,California
Adopter,150,85,14.4799344,125,Some College,"(2000,3000]",0,2,61,0,Democrat,New York
Adopter,125,145,18.1662272,125,Some College,"(1500,2000]",0,2,57,0,Independent,California
Non-adopter,100,100,19.4651838,37.5,Some College,"(1500,2000]",1,3,42,0,Democrat,California
Adopter,300,200,18.1662272,37.5,Bachelor Degree,"(2000,3000]",0,3,52,0,Independent,California
Non-adopter,90,40,18.700047,250,Graduate Degree,"(1000,1500]",0,2,47,0,Republican,California
Adopter,130,180,18.2273476,125,Bachelor Degree,"(2000,3000]",0,2,71,1,Independent,California
Non-adopter,225,125,19.9905379,175,Graduate Degree,"(2000,3000]",1,2,38,0,Democrat,Arizona
Non-adopter,88,125,13.8040129,87.5,Bachelor Degree,"(1500,2000]",0,2,79,1,Republican,New Jersey
Non-adopter,250,300,13.8216355,175,Some College,"(2000,3000]",0,2,67,1,Independent,New York
Adopter,350,200,18.5442682,87.5,Some College,"(1500,2000]",0,2,50,0,Independent,California
Adopter,260,75,17.2770336,125,Graduate Degree,"(1500,2000]",0,2,69,1,Independent,California
Adopter,300,175,13.8040129,125,Graduate Degree,"(2000,3000]",0,3,65,1,Independent,New Jersey
Adopter,600,300,17.7295933,175,Some College,"(2000,3000]",0,2,53,0,Republican,California
Adopter,170,165,17.0682681,62.5,Some College,"(1000,1500]",0,2,76,1,Republican,California
Adopter,500,300,18.2302849,125,Some College,"(3000,4000]",1,2,60,0,Republican,California
Adopter,500,100,19.4651838,62.5,Graduate Degree,"(2000,3000]",1,3,36,0,Republican,California
Non-adopter,178,178,18.4697327,62.5,Bachelor Degree,"(1000,1500]",0,2,67,1,Democrat,Arizona
Adopter,350,300,17.0696245,125,Bachelor Degree,"(1500,2000]",0,2,67,1,Democrat,California
Non-adopter,88,63,15.0491191,87.5,Bachelor Degree,"(2000,3000]",0,1,68,0,Independent,New Jersey
Non-adopter,325,88,17.0682681,87.5,Bachelor Degree,"(1500,2000]",0,3,40,0,Independent,California
Adopter,225,50,18.1662272,37.5,Some College,"(1500,2000]",0,2,68,1,Independent,California
Adopter,180,250,14.4799344,62.5,Some College,"(2000,3000]",0,3,55,1,Independent,New York
Adopter,125,175,18.1662272,62.5,Graduate Degree,"(1000,1500]",0,1,67,1,Republican,California
Non-adopter,45,35,19.88405,17.5,Some College,"(1000,1500]",0,2,54,0,Independent,Arizona
Non-adopter,63,63,19.9905379,87.5,Graduate Degree,"(1500,2000]",0,2,58,0,Republican,Arizona
Adopter,500,200,17.0682681,175,Graduate Degree,"(1500,2000]",0,2,51,0,Independent,California
Non-adopter,150,100,17.1184243,87.5,High School or Less,"(2000,3000]",1,2,38,0,Independent,California
Non-adopter,125,88,13.6849137,37.5,Bachelor Degree,"(2000,3000]",0,1,60,0,Democrat,New York
Non-adopter,63,63,18.2273476,37.5,High School or Less,"(2000,3000]",0,2,78,1,Republican,California
Non-adopter,225,225,19.138337,17.5,Some College,"(2000,3000]",0,3,64,0,Independent,Arizona
Non-adopter,100,100,13.9606699,125,Graduate Degree,"(1500,2000]",0,2,74,1,Independent,New Jersey
Adopter,600,400,17.0682681,17.5,Bachelor Degree,"(1500,2000]",1,3,23,0,Democrat,California
Non-adopter,250,175,14.4799344,125,Graduate Degree,"(2000,3000]",1,2,52,0,Republican,New York
Non-adopter,250,135,19.9905379,125,Bachelor Degree,"(3000,4000]",0,2,74,0,Republican,Arizona
Non-adopter,50,50,16.5959732,87.5,Graduate Degree,"(1500,2000]",0,2,61,0,Independent,California
Non-adopter,250,250,14.0439972,37.5,Some College,"(0,1000]",0,3,49,0,Independent,New York
Non-adopter,225,88,19.96384,37.5,Bachelor Degree,"(2000,3000]",0,1,75,1,Republican,Arizona
Adopter,400,200,18.1662272,87.5,High School or Less,"(1500,2000]",0,2,65,1,Democrat,California
Non-adopter,225,100,14.4799344,250,Graduate Degree,"(1000,1500]",0,2,37,0,Independent,New York
Non-adopter,175,225,14.7471945,87.5,Bachelor Degree,"(2000,3000]",0,2,27,0,Independent,New Jersey
Adopter,250,60,19.4651838,37.5,Some College,"(1000,1500]",1,3,50,0,Republican,California
Non-adopter,375,63,19.1768928,37.5,Some College,"(1500,2000]",1,2,25,0,Independent,Arizona
Non-adopter,88,125,14.0733312,62.5,Some College,"(1500,2000]",0,2,70,1,Independent,New Jersey
Non-adopter,120,180,13.648607,62.5,Bachelor Degree,"(0,1000]",1,2,34,0,Independent,New York
Non-adopter,125,88,13.0458995,62.5,Graduate Degree,"(1000,1500]",0,2,81,1,Democrat,New York
Adopter,250,285,14.4799344,125,High School or Less,"(1500,2000]",0,3,55,0,Independent,New York
Adopter,300,300,18.1662272,125,Graduate Degree,"(2000,3000]",1,3,62,1,Democrat,California
Adopter,500,120,19.2908626,17.5,High School or Less,"(2000,3000]",1,2,40,0,Republican,California
Adopter,425,350,17.7295933,125,Graduate Degree,"(1500,2000]",0,2,68,1,Democrat,California
Non-adopter,100,275,18.700047,37.5,Graduate Degree,"(1500,2000]",0,1,56,0,Democrat,California
Non-adopter,125,88,14.4799344,125,Some College,"(1000,1500]",1,2,37,0,Independent,New York
Non-adopter,125,100,14.4799344,175,High School or Less,"(2000,3000]",0,2,63,0,Independent,New York
Non-adopter,175,63,14.7471945,125,Some College,"(2000,3000]",0,1,58,1,Independent,New Jersey
Non-adopter,225,88,14.1812924,87.5,Graduate Degree,"(1500,2000]",0,2,58,0,Democrat,New Jersey
Non-adopter,145,125,18.1662272,37.5,Bachelor Degree,"(2000,3000]",0,2,60,0,Independent,California
Non-adopter,125,63,19.9372954,175,Bachelor Degree,"(2000,3000]",0,2,55,0,Republican,Arizona
Non-adopter,225,63,13.8040129,250,Graduate Degree,"(3000,4000]",0,3,65,0,Democrat,New Jersey
