adopter,state,bill_win,bill_sum,cf,income,educ,sqft,kids,n_peo,age,retire,party
Adopter,California,160,350,0.185442682,250000,Graduate Degree,"(3000,4000]",0,2,41,0,Democrat
Adopter,California,300,450,0.194651838,175000,Graduate Degree,"(3000,4000]",0,4,76,1,Republican
Adopter,California,265,475,0.192908626,175000,Graduate Degree,"(2000,3000]",1,2,40,1,Republican
Adopter,California,150,325,0.192908626,125000,Some College,"(2000,3000]",0,4,58,1,Independent
Adopter,California,165,300,0.185442682,175000,Bachelor Degree,"(1500,2000]",0,2,58,0,Independent
Adopter,California,75,230,0.194651838,87500,Bachelor Degree,"(2000,3000]",0,2,58,0,Independent
Adopter,California,175,350,0.194651838,125000,Some College,"(1500,2000]",0,2,67,1,Republican
Adopter,California,125,630,0.190826154,125000,Bachelor Degree,"(2000,3000]",1,2,63,1,Independent
Adopter,New York,200,120,0.136007146,250000,Some College,"(1500,2000]",0,2,75,0,Republican
Adopter,New Jersey,125,130,0.140733312,125000,Some College,"(1000,1500]",0,2,64,1,Democrat
Adopter,California,180,120,0.177295933,125000,Some College,"(1500,2000]",0,3,59,0,Independent
Adopter,California,250,500,0.194651838,87500,Some College,"(1500,2000]",0,2,67,1,Democrat
Adopter,California,254,263,0.170682681,62500,Some College,"(1500,2000]",1,3,56,1,Republican
Adopter,New York,175,38,0.144140836,125000,Graduate Degree,"(1500,2000]",0,2,63,1,Independent
Adopter,California,240,440,0.185442682,125000,Some College,"(1500,2000]",1,4,48,0,Republican
Adopter,California,250,250,0.181662272,62500,Some College,"(2000,3000]",0,1,67,1,Republican
Adopter,California,120,120,0.181662272,62500,Some College,"(2000,3000]",0,2,83,1,Republican
Adopter,California,300,500,0.181662272,175000,Some College,"(1000,1500]",1,2,52,0,Republican
Adopter,California,175,250,0.194651838,62500,Some College,"(1500,2000]",0,2,60,0,Republican
Adopter,New York,180,200,0.144799344,87500,Some College,"(1500,2000]",1,4,52,0,Republican
Adopter,New York,170,170,0.144799344,125000,Graduate Degree,"(2000,3000]",1,2,49,0,Republican
Adopter,New York,100,70,0.144799344,87500,Some College,"(1500,2000]",0,1,63,1,Republican
Adopter,New Jersey,100,300,0.143809207,350000,Bachelor Degree,"(1500,2000]",1,2,47,0,Independent
Adopter,New Jersey,40,75,0.139606699,175000,Graduate Degree,"(2000,3000]",1,2,40,0,Democrat
Adopter,California,160,180,0.181662272,87500,Some College,"(1500,2000]",1,2,38,0,Independent
Adopter,California,129,95,0.177750341,87500,Graduate Degree,"(1500,2000]",0,2,78,1,Democrat
Adopter,New York,100,200,0.144799344,37500,Some College,"(1500,2000]",0,3,47,0,Democrat
